도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
트렌드 코리아 2020,김난도,미래의창,20191024,경제/경영,18000,448,12
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,위즈덤하우스,20191030,인문,16000,392,12
지쳤거나 좋아하는 게 없거나,글배우,강한별,20190904,시/에세이,13500,248,12
팩트풀니스(양장본 HardCover),한스 로슬링,김영사,20190310,인문,19800,474,12
에이트(양장본 HardCover),이지성,차이정원,20191021,자기계발,17000,308,12
작가들의 비밀스러운 삶,기욤 뮈소,밝은세상,20191121,소설,14800,340,12
설민석의 한국사 대모험. 12,설민석,아이휴먼,20191205,어린이(초등),12000,212,12
흔한남매. 1,흔한남매,아이세움,20190620,어린이(초등),11000,164,12
지금 이대로 좋다,법륜,정토출판,20191030,시/에세이,14800,272,12
여행의 이유,김영하,문학동네,20190417,시/에세이,13500,216,12
90년생이 온다,임홍택,웨일북(whalebooks),20181116,경제/경영,14000,336,12
총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,28000,751,12
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,12000,248,12
나는 나로 살기로 했다,김수현,마음의숲,20200316,시/에세이,13800,288,12
틀 밖에서 놀게 하라,김경희,쌤앤파커스,20200811,가정/육아,17800,368,12
대한민국 부동산 사용설명서(양장본 HardCover),김학렬,에프엔미디어,20200101,경제/경영,19500,344,12
부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,15000,294,12
넛지(양장본 HardCover),리처드 탈러,리더스북,20181123,경제/경영,18000,428,12
지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),20191224,인문,19800,556,12
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,20200305,외국어,12900,566,12
나는 무조건 합격하는 공부만 한다,이윤규,비즈니스북스,20191216,자기계발,15000,304,12
너에게만 좋은 사람이 되고 싶어(리커버 한정판),유귀선,스튜디오오드리,20191016,시/에세이,13500,244,12
일의 기쁨과 슬픔,장류진,창비,20191025,소설,14000,236,12
겨울왕국2. 2(디즈니)(디즈니 무비 동화)(양장본 HardCover),수잔 프랜시스,애플비,20191210,유아(0~7세),8500,64,12
사피엔스,유발 하라리,김영사,20151124,인문,22000,636,12
인생을 어떻게 살면 좋겠냐고 묻는 딸에게,한창욱,다연,20191017,자기계발,15000,264,12
